Date,open_date,Expiry_Date,Open_Price,Current_Price,previous_highest,current_highest,trade_id,parent_id,initial_lots,active_lots,status,RF,HF,TSL,sum_hh_ll,is_crossover
2005-02-16,2005-02-03,2005-04-28,2079.45,2068.8,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,27.87,1951.37,4,False
2005-02-16,2005-02-11,2005-04-28,2082.05,2068.8,2098.25,2098.25,5,1.0,3.0,3.0,Open,6.51,13.94,1930.39,2,False
2005-02-16,2005-02-14,2005-04-28,2098.25,2068.8,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,13.94,1930.39,2,False
2005-02-16,2005-02-14,2005-04-28,2098.25,2068.8,2098.25,2098.25,7,1.0,6.0,6.0,Open,6.78,13.94,1930.39,2,False
2005-02-17,2005-01-27,2005-04-28,1955.0,2061.9,2098.25,2098.25,1,,10.0,4.0,Open,4.95,38.61,1972.36,6,False
2005-02-17,2005-01-31,2005-04-28,2057.6,2061.9,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,35.36,1972.36,5,False
2005-02-17,2005-02-01,2005-04-28,2059.85,2061.9,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,28.31,1951.37,4,False
2005-02-17,2005-02-03,2005-04-28,2079.45,2061.9,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,28.27,1951.37,4,False
2005-02-17,2005-02-11,2005-04-28,2082.05,2061.9,2098.25,2098.25,5,1.0,3.0,3.0,Open,6.51,21.2,1951.37,3,False
2005-02-17,2005-02-14,2005-04-28,2098.25,2061.9,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,21.21,1951.37,3,False
2005-02-17,2005-02-14,2005-04-28,2098.25,2061.9,2098.25,2098.25,7,1.0,6.0,5.0,Open,6.78,21.21,1951.37,3,False
2005-02-18,2005-01-27,2005-04-28,1955.0,2055.55,2098.25,2098.25,1,,10.0,4.0,Open,4.95,39.17,1972.36,6,False
2005-02-18,2005-01-31,2005-04-28,2057.6,2055.55,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,35.87,1972.36,5,False
2005-02-18,2005-02-01,2005-04-28,2059.85,2055.55,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,28.72,1951.37,4,False
2005-02-18,2005-02-03,2005-04-28,2079.45,2055.55,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,28.68,1951.37,4,False
2005-02-18,2005-02-11,2005-04-28,2082.05,2055.55,2098.25,2098.25,5,1.0,3.0,3.0,Open,6.51,28.68,1951.37,4,False
2005-02-18,2005-02-14,2005-04-28,2098.25,2055.55,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,28.69,1951.37,4,False
2005-02-18,2005-02-14,2005-04-28,2098.25,2055.55,2098.25,2098.25,7,1.0,6.0,4.0,Open,6.78,28.69,1951.37,4,False
2005-02-21,2005-01-27,2005-04-28,1955.0,2043.2,2098.25,2098.25,1,,10.0,4.0,Open,4.95,40.95,1993.34,6,False
2005-02-21,2005-01-31,2005-04-28,2057.6,2043.2,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,45.0,1993.34,6,False
2005-02-21,2005-02-01,2005-04-28,2059.85,2043.2,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,37.53,1972.36,5,False
2005-02-21,2005-02-03,2005-04-28,2079.45,2043.2,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,37.48,1972.36,5,False
2005-02-21,2005-02-11,2005-04-28,2082.05,2043.2,2098.25,2098.25,5,1.0,3.0,2.0,Open,6.51,37.48,1972.36,5,False
2005-02-21,2005-02-14,2005-04-28,2098.25,2043.2,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,37.5,1972.36,5,False
2005-02-21,2005-02-14,2005-04-28,2098.25,2043.2,2098.25,2098.25,7,1.0,6.0,3.0,Open,6.78,37.5,1972.36,5,False
2005-02-22,2005-01-27,2005-04-28,1955.0,2058.4,2098.25,2098.25,1,,10.0,4.0,Open,4.95,41.58,1993.34,6,False
2005-02-22,2005-01-31,2005-04-28,2057.6,2058.4,2098.25,2098.25,2,1.0,2.0,2.0,Open,5.69,45.7,1993.34,6,False
2005-02-22,2005-02-01,2005-04-28,2059.85,2058.4,2098.25,2098.25,3,1.0,2.0,2.0,Open,5.76,38.1,1972.36,5,False
2005-02-22,2005-02-03,2005-04-28,2079.45,2058.4,2098.25,2098.25,4,1.0,2.0,2.0,Open,5.89,38.06,1972.36,5,False
2005-02-22,2005-02-11,2005-04-28,2082.05,2058.4,2098.25,2098.25,5,1.0,3.0,2.0,Open,6.51,38.06,1972.36,5,False
2005-02-22,2005-02-14,2005-04-28,2098.25,2058.4,2098.25,2098.25,6,1.0,2.0,2.0,Open,6.78,38.07,1972.36,5,False
